,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
655,22.0,4.0,41,10
656,22.0,4.0,253,10
657,22.0,4.0,41,10
658,22.0,4.0,41,11
659,22.0,4.0,253,11
660,22.0,4.0,41,11
661,22.0,4.0,41,61
662,22.0,4.0,253,61
663,22.0,4.0,41,61
664,22.0,4.0,41,13
665,22.0,4.0,253,13
666,22.0,4.0,41,13
667,22.0,4.0,41,22
668,22.0,4.0,253,22
669,22.0,4.0,41,22
670,22.0,4.0,41,62
671,22.0,4.0,253,62
672,22.0,4.0,41,62
673,22.0,4.0,41,40
674,22.0,4.0,253,40
675,22.0,4.0,41,40
676,22.0,4.0,41,10
677,22.0,4.0,253,10
678,22.0,4.0,41,10
679,22.0,4.0,41,11
680,22.0,4.0,253,11
681,22.0,4.0,41,11
682,22.0,4.0,41,61
683,22.0,4.0,253,61
684,22.0,4.0,41,61
685,22.0,4.0,41,13
686,22.0,4.0,253,13
687,22.0,4.0,41,13
688,22.0,4.0,41,22
689,22.0,4.0,253,22
690,22.0,4.0,41,22
691,22.0,4.0,41,62
692,22.0,4.0,253,62
693,22.0,4.0,41,62
694,22.0,4.0,41,40
695,22.0,4.0,253,40
696,22.0,4.0,41,40
697,22.0,4.0,41,10
698,22.0,4.0,253,10
699,22.0,4.0,41,10
700,22.0,4.0,41,11
701,22.0,4.0,253,11
702,22.0,4.0,41,11
703,22.0,4.0,41,61
704,22.0,4.0,253,61
705,22.0,4.0,41,61
706,22.0,4.0,41,13
707,22.0,4.0,253,13
708,22.0,4.0,41,13
709,22.0,4.0,41,22
710,22.0,4.0,253,22
711,22.0,4.0,41,22
712,22.0,4.0,41,62
713,22.0,4.0,253,62
714,22.0,4.0,41,62
715,3.0,4.0,303,20
716,3.0,4.0,303,20
717,3.0,4.0,303,20
718,3.0,4.0,361,71
719,3.0,4.0,309,71
720,3.0,4.0,305,71
721,3.0,4.0,361,40
722,3.0,4.0,309,40
723,3.0,4.0,305,40
724,3.0,4.0,361,61
725,3.0,4.0,309,61
726,3.0,4.0,305,61
727,3.0,4.0,361,13
728,3.0,4.0,309,13
729,3.0,4.0,305,13
730,3.0,4.0,361,22
731,3.0,4.0,309,22
732,3.0,4.0,305,22
733,3.0,4.0,361,62
734,3.0,4.0,309,62
735,3.0,4.0,305,62
736,3.0,4.0,361,71
737,3.0,4.0,309,71
738,3.0,4.0,305,71
739,3.0,4.0,361,40
740,3.0,4.0,309,40
741,3.0,4.0,305,40
742,3.0,4.0,361,61
743,3.0,4.0,309,61
744,3.0,4.0,305,61
745,3.0,4.0,361,13
746,3.0,4.0,309,13
747,3.0,4.0,305,13
748,3.0,4.0,361,22
749,3.0,4.0,309,22
750,3.0,4.0,305,22
751,3.0,4.0,361,62
752,3.0,4.0,309,62
753,3.0,4.0,305,62
754,3.0,4.0,361,71
755,3.0,4.0,309,71
756,3.0,4.0,305,71
757,3.0,4.0,361,40
758,3.0,4.0,309,40
759,3.0,4.0,305,40
760,3.0,4.0,361,61
761,3.0,4.0,309,61
762,3.0,4.0,305,61
763,3.0,4.0,361,13
764,3.0,4.0,309,13
765,3.0,4.0,305,13
766,3.0,4.0,361,22
767,3.0,4.0,309,22
768,3.0,4.0,305,22
769,3.0,4.0,361,62
770,3.0,4.0,309,62
771,3.0,4.0,305,62
772,22.0,4.0,415,61
773,22.0,4.0,394,61
774,22.0,4.0,393,61
775,22.0,4.0,416,61
776,22.0,4.0,393,61
777,22.0,4.0,415,22
778,22.0,4.0,394,22
779,22.0,4.0,393,22
780,22.0,4.0,416,22
781,22.0,4.0,393,22
782,22.0,4.0,415,61
783,22.0,4.0,394,61
784,22.0,4.0,393,61
785,22.0,4.0,416,61
786,22.0,4.0,393,61
787,22.0,4.0,415,22
788,22.0,4.0,394,22
789,22.0,4.0,393,22
790,22.0,4.0,416,22
791,22.0,4.0,393,22
792,22.0,4.0,415,61
793,22.0,4.0,394,61
794,22.0,4.0,393,61
795,22.0,4.0,416,61
796,22.0,4.0,393,61
797,22.0,4.0,415,22
798,22.0,4.0,394,22
799,22.0,4.0,393,22
800,22.0,4.0,416,22
801,22.0,4.0,393,22
802,3.0,4.0,417,71
803,3.0,4.0,412,71
804,3.0,4.0,417,62
805,3.0,4.0,412,62
806,3.0,4.0,417,83
807,3.0,4.0,412,83
808,3.0,4.0,417,71
809,3.0,4.0,412,71
810,3.0,4.0,417,62
811,3.0,4.0,412,62
812,3.0,4.0,417,83
813,3.0,4.0,412,83
814,3.0,4.0,417,71
815,3.0,4.0,412,71
816,3.0,4.0,417,62
817,3.0,4.0,412,62
818,3.0,4.0,417,83
819,3.0,4.0,412,83
820,3.0,4.0,361,71
821,3.0,4.0,309,71
822,3.0,4.0,305,71
823,3.0,4.0,361,40
824,3.0,4.0,309,40
825,3.0,4.0,305,40
826,3.0,4.0,361,61
827,3.0,4.0,309,61
828,3.0,4.0,305,61
829,3.0,4.0,361,13
830,3.0,4.0,309,13
831,3.0,4.0,305,13
832,3.0,4.0,361,22
833,3.0,4.0,309,22
834,3.0,4.0,305,22
835,3.0,4.0,361,62
836,3.0,4.0,309,62
837,3.0,4.0,305,62
838,3.0,4.0,361,71
839,3.0,4.0,309,71
840,3.0,4.0,305,71
841,3.0,4.0,361,40
842,3.0,4.0,309,40
843,3.0,4.0,305,40
844,3.0,4.0,361,61
845,3.0,4.0,309,61
846,3.0,4.0,305,61
847,3.0,4.0,361,13
848,3.0,4.0,309,13
849,3.0,4.0,305,13
850,3.0,4.0,361,22
851,3.0,4.0,309,22
852,3.0,4.0,305,22
853,3.0,4.0,361,62
854,3.0,4.0,309,62
855,3.0,4.0,305,62
856,3.0,4.0,361,71
857,3.0,4.0,309,71
858,3.0,4.0,305,71
859,3.0,4.0,361,40
860,3.0,4.0,309,40
861,3.0,4.0,305,40
862,3.0,4.0,361,61
863,3.0,4.0,309,61
864,3.0,4.0,305,61
865,3.0,4.0,361,13
866,3.0,4.0,309,13
867,3.0,4.0,305,13
868,3.0,4.0,361,22
869,3.0,4.0,309,22
870,3.0,4.0,305,22
871,3.0,4.0,361,62
872,3.0,4.0,309,62
873,3.0,4.0,305,62
874,3.0,4.0,361,71
875,3.0,4.0,309,71
876,3.0,4.0,305,71
877,3.0,4.0,361,40
878,3.0,4.0,309,40
879,3.0,4.0,305,40
880,3.0,4.0,361,61
881,3.0,4.0,309,61
882,3.0,4.0,305,61
883,3.0,4.0,361,13
884,3.0,4.0,309,13
885,3.0,4.0,305,13
886,3.0,4.0,361,22
887,3.0,4.0,309,22
888,3.0,4.0,305,22
889,3.0,4.0,361,62
890,3.0,4.0,309,62
891,3.0,4.0,305,62
892,3.0,4.0,361,71
893,3.0,4.0,309,71
894,3.0,4.0,305,71
895,3.0,4.0,361,40
896,3.0,4.0,309,40
897,3.0,4.0,305,40
898,3.0,4.0,361,61
899,3.0,4.0,309,61
900,3.0,4.0,305,61
901,3.0,4.0,361,13
902,3.0,4.0,309,13
